episode,reward,avg_reward,steps,deliveries,collisions,timestamp
12,0,0.0,0,0,0,2025-04-20T01:57:36.876634
13,0,0.0,0,0,0,2025-04-20T01:57:38.066948
14,0,0.0,0,0,0,2025-04-20T01:57:39.103353
15,0,0.0,0,0,0,2025-04-20T01:57:39.839925
16,0,0.0,0,0,0,2025-04-20T01:57:40.694435
17,0,0.0,0,0,0,2025-04-20T01:57:41.593917
18,0,0.0,0,0,0,2025-04-20T01:57:43.119038
19,0,0.0,0,0,0,2025-04-20T01:57:43.942566
20,0,0.0,0,0,0,2025-04-20T01:57:44.827314
21,0,0.0,0,0,0,2025-04-20T01:57:45.949672
22,0,0.0,0,0,0,2025-04-20T01:57:46.866144
23,0,0.0,0,0,0,2025-04-20T01:57:47.599724
24,0,0.0,0,0,0,2025-04-20T01:57:48.418495
25,0,0.0,0,0,0,2025-04-20T01:57:49.463897
26,0,0.0,0,0,0,2025-04-20T01:57:50.230455
27,0,0.0,0,0,0,2025-04-20T01:57:50.920062
0,0,0.0,0,0,0,2025-04-20T01:59:23.202013
1,0,0.0,0,0,0,2025-04-20T01:59:23.882625
2,0,0.0,0,0,0,2025-04-20T01:59:24.577233
3,0,0.0,0,0,0,2025-04-20T01:59:25.252854
4,0,0.0,0,0,0,2025-04-20T01:59:25.986434
5,0,0.0,0,0,0,2025-04-20T01:59:27.321665
6,0,0.0,0,0,0,2025-04-20T01:59:29.051668
7,0,0.0,0,0,0,2025-04-20T01:59:29.739276
8,0,0.0,0,0,0,2025-04-20T01:59:30.410885
9,0,0.0,0,0,0,2025-04-20T01:59:31.095536
10,0,0.0,0,0,0,2025-04-20T01:59:31.772155
11,0,0.0,0,0,0,2025-04-20T01:59:32.447764
12,0,0.0,0,0,0,2025-04-20T01:59:33.125373
13,0,0.0,0,0,0,2025-04-20T01:59:33.851975
14,0,0.0,0,0,0,2025-04-20T01:59:34.630509
15,0,0.0,0,0,0,2025-04-20T01:59:35.357092
16,0,0.0,0,0,0,2025-04-20T01:59:36.057686
17,0,0.0,0,0,0,2025-04-20T01:59:36.934181
18,0,0.0,0,0,0,2025-04-20T01:59:38.295397
19,0,0.0,0,0,0,2025-04-20T01:59:39.276831
20,0,0.0,0,0,0,2025-04-20T01:59:40.036394
21,0,0.0,0,0,0,2025-04-20T01:59:40.802482
22,0,0.0,0,0,0,2025-04-20T01:59:41.519070
23,0,0.0,0,0,0,2025-04-20T01:59:42.364342
24,0,0.0,0,0,0,2025-04-20T01:59:43.298802
25,0,0.0,0,0,0,2025-04-20T01:59:44.203283
26,0,0.0,0,0,0,2025-04-20T01:59:45.114757
27,0,0.0,0,0,0,2025-04-20T01:59:45.978261
